Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in rub),Volume (in 1000 kg),Number of stores
2021.0,1.0,Hypermarkets,Green,200-249G,12.7583,817789.128,2.6792,545.0
2021.0,1.0,Hypermarkets,Greennn#!,350-399G,61.6034,5598975.814,21.5612,798.0
2021.0,1.0,Hypermarkets,Greennn#!,400-599G,47.7524,4638537.271,23.8763,569.0
2021.0,1.0,Hypermarkets,Greennn#!,600-899G,0.0017,123.992,0.0013,1.0
2021.0,1.0,Hypermarkets,Blue,200-249G,0.0509,5628.921,0.0101,6.0
2021.0,1.0,Hypermarkets,Blue,400-599G,32.5492,5589670.023,13.0196,658.0
2021.0,1.0,Hypermarkets,Black,200-249G,3.3615,224651.12199999997,0.7731,366.0
2021.0,1.0,Hypermarkets,Black,400-599G,1.4148,172739.041,0.6367,281.0
2021.0,1.0,Hypermarkets,Yellow,350-399G,4.3779,295583.894,1.5761,234.0
2021.0,1.0,Hypermarkets,White,<200G,2.563,286247.337,0.4614,102.0
2021.0,1.0,Hypermarkets,Red,350-399G,0.938,144051.522,0.347,93.0
2021.0,1.0,Hypermarkets,Orange,250-299G,0.0066,2099.316,0.0018,2.0
2021.0,1.0,Hypermarkets,Orange,400-599G,1.0009,128384.194,0.4004,122.0
2021.0,1.0,Hypermarkets,Purple,400-599G,0.3449,72269.303,0.1379,167.0
2021.0,1.0,Hypermarkets,Brown,<200G,0.3859,35374.751000000004,0.0695,88.0
2021.0,1.0,Hypermarkets,Brown,400-599G,0.0197,3081.309,0.0079,11.0
2021.0,1.0,Hypermarkets,Pink,<200G,0.2111,37134.448,0.0401,0.0
2021.0,1.0,Hypermarkets,Pink,350-399G,0.0011,156.28300000000002,0.0004,0.0
2021.0,1.0,Minimarkets,Greennn#!,200-249G,60.7356,3633450.875,12.7544,8174.0
2021.0,1.0,Minimarkets,Greennn#!,350-399G,53.4502,5188030.767999999,18.7075,8539.0
2021.0,1.0,Minimarkets,Greennn#!,400-599G,4.7236,698288.024,2.3618,791.0
2021.0,1.0,Minimarkets,Greennn#!,600-899G,0.2761,44558.407,0.2071,174.0
2021.0,1.0,Minimarkets,Blue,200-249G,0.0109,976.688,0.0022,2.0
2021.0,1.0,Minimarkets,Blue,400-599G,6.601,1395983.538,2.6403,704.0
2021.0,1.0,Minimarkets,Yellow,350-399G,22.0065,1012001.19,7.9223,1738.0
2021.0,1.0,Minimarkets,Black,200-249G,3.368,248807.815,0.7747,1602.0
2021.0,1.0,Minimarkets,Black,400-599G,0.6442,121949.72099999999,0.2899,498.0
2021.0,1.0,Minimarkets,White,<200G,1.5582,144102.644,0.2804,254.0
2021.0,1.0,Minimarkets,Red,350-399G,0.9092,139276.35799999998,0.3364,390.0
2021.0,1.0,Minimarkets,Golden,350-399G,0.7546,69099.011,0.2641,222.0
2021.0,1.0,Minimarkets,Grey,350-399G,0.3194,68459.953,0.1117,121.0
2021.0,1.0,Minimarkets,Vivid,<200G,0.0203,3688.142,0.0036,0.0
2021.0,1.0,Minimarkets,Vivid,350-399G,0.2341,52410.371,0.082,0.0
2021.0,1.0,Minimarkets,Orange,250-299G,0.0033,1317.1699999999998,0.0009,2.0
2021.0,1.0,Minimarkets,Orange,400-599G,0.4005,44008.199,0.1602,280.0
2021.0,1.0,Supermarkets,Greennn#!,200-249G,97.1922,5815674.717,20.4104,11628.0
2021.0,1.0,Supermarkets,Greennn#!,350-399G,147.9807,13070828.159999998,51.7931,15787.0
2021.0,1.0,Supermarkets,Greennn#!,400-599G,9.3525,1152899.461,4.6763,796.0
2021.0,1.0,Supermarkets,Greennn#!,600-899G,0.0646,9090.562,0.0485,34.0
2021.0,1.0,Supermarkets,Blue,200-249G,0.0052,655.369,0.0011,2.0
2021.0,1.0,Supermarkets,Blue,400-599G,49.6951,8107083.433,19.878,1820.0
2021.0,1.0,Supermarkets,Yellow,350-399G,36.8688,2073765.747,13.2728,2184.0
2021.0,1.0,Supermarkets,Black,200-249G,2.7811,190909.02500000002,0.6397,842.0
2021.0,1.0,Supermarkets,Black,400-599G,5.3559,807009.751,2.4102,1879.0
2021.0,1.0,Supermarkets,Deep,<200G,1.8007,496770.16099999996,0.3421,96.0
2021.0,1.0,Supermarkets,Deep,350-399G,0.0343,10777.786,0.0121,8.0
2021.0,1.0,Supermarkets,Deep,400-599G,0.0712,35072.661,0.0356,48.0
2021.0,1.0,Supermarkets,Red,350-399G,2.1642,341345.026,0.8008,289.0
2021.0,1.0,Supermarkets,Vivid,<200G,0.3247,59056.691999999995,0.0585,75.0
2021.0,1.0,Supermarkets,Vivid,350-399G,1.147,246981.215,0.4015,88.0
2021.0,1.0,Supermarkets,Moderate,350-399G,1.2875,233906.12300000002,0.4505,114.0
2021.0,1.0,Supermarkets,Pale,350-399G,0.0013,511.883,0.0005,1.0
2021.0,1.0,Supermarkets,Pale,400-599G,0.6515,221027.694,0.2605,96.0
2021.0,1.0,Supermarkets,Dim,<200G,0.0007,330.204,0.0001,0.0
2021.0,1.0,Supermarkets,Dim,350-399G,0.0577,27053.737,0.0202,0.0
2021.0,1.0,Supermarkets,Dim,400-599G,0.2991,167434.489,0.1256,0.0
2021.0,2.0,Hypermarkets,Greennn#!,200-249G,11.0802,740731.002,2.3268,558.0
2021.0,2.0,Hypermarkets,Greennn#!,350-399G,71.5818,6362673.845000001,25.0535,810.0
2021.0,2.0,Hypermarkets,Greennn#!,400-599G,30.1637,3418376.272,15.082,587.0
2021.0,2.0,Hypermarkets,Blue,200-249G,0.0753,8411.521,0.0151,10.0
2021.0,2.0,Hypermarkets,Blue,400-599G,21.9409,4399865.7979999995,8.7763,668.0
2021.0,2.0,Hypermarkets,Yellow,350-399G,4.788,323528.652,1.7237,237.0
2021.0,2.0,Hypermarkets,White,<200G,2.5794,284872.613,0.4643,105.0
2021.0,2.0,Hypermarkets,Black,200-249G,2.4279,182747.544,0.5584,343.0
2021.0,2.0,Hypermarkets,Black,400-599G,0.7081,89899.09199999999,0.3186,208.0
2021.0,2.0,Hypermarkets,Red,350-399G,0.9907,147664.938,0.3666,77.0
2021.0,2.0,Hypermarkets,Orange,250-299G,0.0058,1908.0230000000001,0.0016,2.0
2021.0,2.0,Hypermarkets,Orange,400-599G,1.0523,136397.28199999998,0.4209,124.0
2021.0,2.0,Hypermarkets,Purple,400-599G,0.3763,59318.734,0.1505,165.0
2021.0,2.0,Hypermarkets,Brown,<200G,0.5313,46850.674,0.0956,87.0
2021.0,2.0,Hypermarkets,Brown,400-599G,0.0106,1650.026,0.0042,8.0
2021.0,2.0,Hypermarkets,Lime,400-599G,0.2056,41075.017,0.0823,62.0
2021.0,2.0,Minimarkets,Greennn#!,200-249G,54.9092,3357609.5470000003,11.531,8226.0
